index,name,artist,release_date,length,popularity,danceability
2932,Procession,Various Artists,2020,4.50155,7,0.293
2933,Mary,Scissor Sisters,2004,4.668883333,38,0.64
2934,Wolves,Big Wreck,2012,4.228883333,20,0.339
2935,Oh Sherrie,Steve Perry,1984,3.822433333,64,0.333
2936,Sleeping Sickness,City and Colour,2007,4.133333333,54,0.642
2937,Give It Up,Various Artists,2020,5.287766667,1,0.654
2938,Between The Bars,Elliott Smith,1997,2.354666667,62,0.522
2939,Something Vague,Various Artists,2003,3.503333333,21,0.385
2940,White Light/White Heat,The Velvet Underground,1968,2.794216667,41,0.487
2941,The One,Elton John,1992,5.886,53,0.426
2942,Them Bones,Alice In Chains,1992,2.4911,66,0.159
2943,Holiday from Real - 2015 Remastered,Jack's Mannequin,2005,2.974666667,40,0.367
2944,Cavern,Liquid Liquid,1997,5.329333333,44,0.682
2945,Bottoms Up,Nickelback,2011,3.623766667,56,0.667
2946,Back Stabbers,The O'Jays,1972,3.10155,55,0.751
2947,Face To Face,Ruel,2019,3.395766667,66,0.711
2948,The Four Horsemen,Aphrodite's Child,1971,5.890433333,48,0.294
2949,Butterfly On A Wheel,The Mission,1990,5.68,46,0.583
2950,Can't Stand Losing You,Sting,1997,3.01155,45,0.756
2951,(Amphetamine) Logic,Various Artists,2000,4.965333333,3,0.453
2952,Headache,Frank Black,1994,2.876,44,0.592
2953,Take Control,Weezer,2002,3.076216667,32,0.369
2954,4th Time Around,Various Artists,2012,4.376,10,0.359
2955,Streets of Your Town - Remastered,The Go-Betweens,2020,3.663083333,44,0.631
2956,It Ain't No Use,Stevie Wonder,1974,4.0171,31,0.492
2957,Without You,Harry Nilsson,1971,3.35,66,0.392
2958,The End Of The Innocence,Don Henley,1989,5.2551,59,0.623
2959,"It's All over Now, Baby Blue",Bob Dylan,1965,4.2011,53,0.699
2960,Catch My Breath,Kelly Clarkson,2012,4.191766667,50,0.691
2961,You're a Wolf,Sea Wolf,2007,3.592666667,50,0.676
2962,Village Green - Stereo Mix,The Kinks,2008,2.119333333,38,0.711
2963,Apache,The Shadows,1987,2.9031,59,0.595
2964,White Bird,Various Artists,1972,9.013333333,41,0.387
2965,Divorce Song (Remastered),Liz Phair,1993,3.334883333,35,0.648
2966,I Hear You Calling,Gob,2001,3.187766667,48,0.564
2967,Crockett's Theme,Jan Hammer,2018,3.6,47,0.488
2968,Little Angel,Various Artists,2019,2.634433333,5,0.72
2969,Don't Know What You Got (Till It's Gone),Cinderella,1988,5.910666667,62,0.384
2970,Knock on Wood,Eddie Floyd,1967,3.164,61,0.864
2971,Don't Break My Heart Again - 2011 Remaster,Whitesnake,1981,4.063333333,38,0.643
2972,Suds & Soda,dEUS,1994,5.236666667,40,0.149
2973,Kiss Them For Me,Siouxsie and the Banshees,1991,4.6191,50,0.6
2974,This Afternoon,Nickelback,2008,4.558216667,61,0.507
2975,New Noise,Refused,1998,5.212,53,0.68
2976,Ask the Angels,Patti Smith,1976,3.162216667,33,0.37
2977,Brick by Boring Brick,Paramore,2009,4.232433333,63,0.436
2978,Communicate,the feelers,2008,2.989333333,22,0.529
2979,A Better Place,Army of Anyone,2006,4.98,20,0.493
2980,Honestly,Stryper,1986,4.126666667,42,0.446
2981,Scarborough Fair / Canticle,Simon & Garfunkel,1966,3.172433333,63,0.336
2982,The Man Don't Give a Fuck - 2016 - Remaster,Super Furry Animals,1996,4.889766667,32,0.56
2983,Cruiser's Creek,The Fall,1985,4.29555,23,0.414
2984,Do Ya,Electric Light Orchestra,1976,3.751766667,56,0.494
2985,Remember Everything,Five Finger Death Punch,2011,4.646883333,55,0.368
2986,The Best - Edit,Tina Turner,2004,4.226533333,64,0.68
2987,Gossip Diet,Lotus Child,2006,3.715333333,5,0.531
2988,Andy's Chest,Lou Reed,1972,3.308666667,43,0.445
2989,Hang On Sloopy,The McCoys,1995,3.863333333,56,0.764
2990,Discipline,Nine Inch Nails,2008,4.319716667,51,0.611
2991,She's Gone,STEELHEART,1991,6.526,49,0.401
2992,Just the Way You Are,Billy Joel,1977,4.842883333,70,0.589
2993,Make Up,Lou Reed,1972,2.982216667,42,0.737
2994,Day Eleven: Love,Ayreon,2004,4.301316667,31,0.497
2995,Overjoyed,Stevie Wonder,1985,3.709766667,59,0.221
2996,Industrial Disease,Dire Straits,1982,5.83955,37,0.608
2997,Absolutely Sweet Marie,Bob Dylan,1966,4.903333333,39,0.566
2998,Surrender,Billy Talent,2006,4.11,58,0.622
2999,Raised on Rock,Scorpions,2010,3.978666667,36,0.534
3000,Femme Fatale,The Velvet Underground,1967,2.65,58,0.55
3001,On Broadway (Single Version),The Drifters,2018,2.99155,26,0.747
3002,Out Of The Blue (Into The Fire),The The,1986,5.127766667,28,0.525
3003,A Design for Life - Remastered,Manic Street Preachers,1996,4.294,56,0.184
3004,Walking with a Ghost,Tegan and Sara,2004,2.504883333,58,0.788
3005,Can't Change Me,Chris Cornell,1999,3.374,45,0.48
3006,Sunday Girl - Remastered,Blondie,1978,3.092666667,42,0.617
3007,Stars,Grace Potter & The Nocturnals,2012,3.598883333,49,0.432
3008,I'll Be Your Baby Tonight,Bob Dylan,1967,2.656,46,0.512
3009,Leader of the Band,Dan Fogelberg,1979,4.273316667,63,0.628
3010,Sherry,Frankie Valli & The Four Seasons,1962,2.536,60,0.701
3011,Saturday in the Park - 2002 Remaster,Chicago,1972,3.927766667,63,0.668
3012,White Shadows,Coldplay,2005,5.470316667,53,0.491
3013,Gods Of War,Def Leppard,1987,6.630216667,49,0.581
3014,Stay,Various Artists,1987,1.581766667,55,0.555
3015,Drain You,Nirvana,1991,3.731333333,60,0.325
3016,I Ain't Gonna Stand For It,Stevie Wonder,1980,4.6494,27,0.728
3017,Isn't It Time,The Babys,1977,4.065333333,52,0.523
3018,Major Tom - Coming Home,Peter Schilling,1989,5.022883333,66,0.787
3019,The Engine Driver,The Decemberists,2005,4.253333333,41,0.425
3020,The Crow & the Butterfly,Shinedown,2008,4.226666667,53,0.319
3021,Amie - Remastered 1988,Pure Prairie League,1972,4.323766667,61,0.372
3022,Goin' Down on It,Hot Action Cop,2003,4.844433333,45,0.66
3023,My Cherie Amour,Stevie Wonder,1969,2.888433333,64,0.574
3024,"Bad, Bad Leroy Brown",Jim Croce,1973,3.037333333,66,0.697
3025,Bankrobber,The Clash,2013,4.5671,50,0.623
3026,Always Gonna Love You,Gary Moore,1994,3.910666667,34,0.214
3027,Another Radio Song,Okkervil River,2005,4.998216667,20,0.262
3028,Lord of the Flies - 2015 Remaster,Iron Maiden,1995,5.060433333,35,0.305
3029,Dancing Tight - Extended Version,Phil Fearon,2005,4.41555,22,0.788
3030,Here Comes the Rain Again - Remastered Version,Eurythmics,1983,4.909766667,64,0.648
3031,Lie,Black Light Burns,2007,4.318216667,43,0.54
3032,Set Fire to the Rain,Adele,2011,4.028216667,76,0.61
3033,Kick It Out,Heart,1977,2.757766667,38,0.402
3034,Temptation,The Tea Party,1997,3.41955,27,0.481
3035,Out of Time,Blur,2003,3.88955,56,0.529
3036,Army Dreamers,Kate Bush,1980,2.977333333,51,0.679
3037,Nobody Knows,Lillian Axe,1988,4.326883333,10,0.441
3038,Pull The Plug,Starz,1976,4.71755,10,0.383
3039,Cursed Sleep,"Bonnie ""Prince"" Billy",2006,5.598433333,28,0.309
3040,I Just Want to Make Love to You - 2016 Remaster,Foghat,1972,4.346883333,42,0.414
3041,The Way You Move,Since October,2010,3.556216667,30,0.598
3042,Bron-Y-Aur Stomp - Remaster,Led Zeppelin,1970,4.2891,56,0.525
3043,Love To Love You Baby,Donna Summer,1975,16.80888333,46,0.622
3044,Not When I Need It,Matthew Sweet,1995,3.462,18,0.217
3045,Needles and Pins - Mono,The Searchers,1964,2.189333333,57,0.565
3046,All Torn Down,The Living End,1999,4.1111,32,0.553
3047,Since You're Gone - Live,The Cars,2020,4.029516667,8,0.301
3048,Car,Built To Spill,1994,2.9851,39,0.345
3049,Bridge To Nowhere,Sam Roberts Band,2006,3.150883333,24,0.652
3050,The Man Who Sold the World - 2015 Remaster,David Bowie,1970,4.022433333,63,0.474
3051,Unglued - 2019 Remaster,Stone Temple Pilots,1994,2.571766667,47,0.441
3052,The Look,Roxette,1988,3.955333333,8,0.634
3053,Running Free - 2015 Remaster,Iron Maiden,1980,3.292883333,40,0.478
3054,Authority Song,John Mellencamp,1983,3.820666667,58,0.495
3055,Alright,Tadpole,2000,3.622216667,36,0.562
3056,Save Me - Remastered 2011,Queen,1980,3.832,62,0.507
3057,Don't Go Breaking My Heart - Elton John and Kiki Dee,Players Since Creation,2014,4.446883333,23,0.677
3058,One Thing Leads To Another,The Fixx,1983,3.330433333,57,0.789
3059,Right Next Door To Hell,Guns N' Roses,1991,3.03555,53,0.374
3060,Dog Eat Dog - Remastered,Adam & The Ants,2016,3.169766667,40,0.624
3061,Breakdown,Seether,2007,3.487766667,54,0.417
3062,I Talk To The Wind,King Crimson,1969,6.094316667,54,0.273
3063,Morning Has Broken,Yusuf / Cat Stevens,1971,3.333333333,69,0.424
3064,Burning Love,Elvis Presley,1973,2.838216667,68,0.66
3065,88 Lines about 44 Women,The Nails,1984,4.944,42,0.799
3066,Baby Come Back,Groove Armada,2012,3.572883333,59,0.645
3067,5 Days in May - Remastered 2012 version,Blue Rodeo,1993,7.234216667,49,0.56
3068,Wooly Bully,Various Artists,1987,2.347766667,55,0.582
3069,Headache for Michelle,Au Pairs,2006,6.88355,22,0.766
3070,Do You Know What I Mean,Lee Michaels,1971,3.200366667,49,0.788
3071,The High Road,Broken Bells,2010,3.87,65,0.61
3072,Hold On Loosely,38 Special,1980,4.677266667,65,0.567
3073,It's All Over Now - Mono Version,The Rolling Stones,1964,3.440666667,46,0.603
3074,If I Get Lucky,Little River Band,1990,4.246666667,24,0.729
3075,No Aphrodisiac,The Whitlams,1998,4.324883333,48,0.363
3076,I Don't Know Where I Stand,Joni Mitchell,1969,3.223333333,38,0.562
3077,See My Baby Jive - 2006 Remaster,Wizzard,1973,5.038883333,40,0.359
3078,Rag Doll,Frankie Valli & The Four Seasons,2003,3.026,43,0.498
3079,Lifeline,Papa Roach,2009,4.292433333,43,0.454
3080,Lazy,Luger Boa,2010,3.3811,0,0.625
3081,Quietly,Guano Apes,2003,3.631766667,36,0.518
3082,Battery,Metallica,1986,5.206,62,0.481
3083,Memphis,Johnny Rivers,1998,2.628883333,26,0.776
3084,Sweet Lui-Louise,Various Artists,1999,3.24955,34,0.518
3085,I'll Be Your Baby Tonight - Originally Performed By Robert Palmer and UB40,Reggae Karaoke Lions,2012,3.375516667,0,0.702
3086,The '59 Sound,The Gaslight Anthem,2009,3.166433333,52,0.423
3087,Moonlight Mile - 2009 Mix,The Rolling Stones,1971,5.953333333,56,0.417
3088,Stereotype,The Specials,2000,3.875333333,31,0.803
3089,It's The Same Old Song,Four Tops,1965,2.773333333,55,0.704
3090,I'm Gonna Be (500 Miles),The Proclaimers,2003,3.657766667,73,0.851
3091,Newborn,Elbow,2001,7.6,28,0.136
3092,Feel Your Love Tonight - 2015 Remaster,Van Halen,1978,3.682666667,53,0.46
3093,Ugly,The Exies,2004,3.306,48,0.214
3094,White Trash,Steriogram,2004,3.7411,30,0.489
3095,Beat the Bastards,The Exploited,1996,4.3511,42,0.339
3096,Hello,Lionel Richie,1983,4.11555,68,0.424
3097,Brand New Hate,Backyard Babies,2001,2.988216667,9,0.371
3098,California Uber Alles,Dead Kennedys,1987,3.450666667,58,0.317
3099,Wild Wood,Paul Weller,1993,3.3711,56,0.594
3100,No Secrets,The Angels,1980,4.2991,56,0.478
3101,Govinda,Kula Shaker,1996,4.94585,44,0.343
3102,Wake Me Up Before You Go-Go,Wham!,1984,3.85555,79,0.62
3103,"Walk, Don't Run - Stereo",The Ventures,1960,2.048883333,50,0.488
3104,Mystify,INXS,1987,3.2931,58,0.605
3105,Clumsy,Our Lady Peace,1997,4.466,46,0.382
3106,Smooth Operator - Single Version,Sade,1994,4.31155,69,0.734
3107,Feelin',The La's,1990,1.7451,40,0.502
3108,These Arms of Mine,Otis Redding,1964,2.57555,61,0.403
3109,Don't Let Me Down - Remastered 2009,The Beatles,1973,3.59555,68,0.593
3110,Forever Now - 2011 Remastered,Cold Chisel,1982,4.467966667,55,0.619
3111,Heart Attack and Vine - Remastered,Screamin' Jay Hawkins,2018,4.45755,39,0.615
3112,Hit the Ground,6gig,2000,3.0623,10,0.448
3113,Do You Love Me,The Contours,2012,2.90325,57,0.578
3114,Pick Up the Pieces,Average White Band,1974,3.998466667,55,0.768
3115,Tribute,Tenacious D,2001,4.134216667,68,0.365
3116,Colour My World,Chicago,1975,3.027333333,44,0.629
3117,Verse Chorus Verse - Boombox Rehearsals,Nirvana,1991,3.20555,35,0.529
3118,Live With Me,The Rolling Stones,1969,3.552216667,41,0.681
3119,Mr. Speed,KISS,1976,3.308216667,34,0.728
3120,Dakota,Stereophonics,2005,4.9571,68,0.506
3121,Fantasy - Single Version,"Earth, Wind & Fire",1978,3.770216667,67,0.666
3122,"Please, Please, Please, Let Me Get What I Want",Various Artists,2020,1.878433333,2,0.241
3123,Get Behind The Mule,Tom Waits,1999,6.874216667,38,0.727
3124,Pearl Necklace,ZZ Top,1981,4.080433333,42,0.609
3125,Groovin',The Young Rascals,1967,2.521483333,58,0.605
3126,It's Only Natural,Crowded House,1991,3.53955,56,0.747
3127,Wasted Time,Skid Row,1991,5.813333333,56,0.36
3128,Crazy,Various Artists,2020,5.278216667,4,0.372
3129,Trippin,Push Push,2014,4.025666667,26,0.324
3130,Along Comes Mary,The Association,1966,2.85,54,0.584
3131,Mexican Radio,Wall Of Voodoo,1982,4.147766667,48,0.505
3132,Thank You,Dido,1999,3.630433333,59,0.722
3133,Stand!,Sly & The Family Stone,1969,3.12555,36,0.609
3134,Girls of Summer,Aerosmith,2002,3.219333333,48,0.536
3135,The Truth,Clawfinger,1993,4.2111,20,0.674
3136,Sweat It Out,Jimmy Barnes,2006,3.963333333,11,0.18
3137,Polyamorous,Breaking Benjamin,2002,2.9491,53,0.544
3138,My December,Various Artists,2020,4.342666667,6,0.731
3139,Friday On My Mind,Gary Moore,1987,4.193333333,40,0.471
3140,Luka,Suzanne Vega,1987,3.84955,59,0.637
3141,To Love Somebody,Bee Gees,1967,3.033333333,67,0.423
3142,Black,Sevendust,1997,4.148433333,53,0.565
3143,Legend Of A Mind,The Moody Blues,1968,6.610216667,44,0.33
3144,Respect - Mono; 2008 Remaster,Otis Redding,1965,2.1831,43,0.709
3145,Chinese Burn - Lunatic Calm Mix,Various Artists,2006,7.428433333,19,0.548
3146,Once Around The Block,Badly Drawn Boy,1999,4.080433333,52,0.389
3147,Party at Ground Zero,Fishbone,1985,6.5011,38,0.376
3148,Moby Dick - Intro / Outro Rough Mix,Led Zeppelin,1969,1.63955,49,0.493
3149,Sun Hits The Sky,Supergrass,1997,4.85615,48,0.374
3150,Burn,Various Artists,1994,6.648883333,54,0.574
3151,Oh Yeah,Ash,1996,4.757766667,35,0.122
3152,Four Sticks - Remaster,Led Zeppelin,1971,4.753783333,45,0.507
3153,Scar,Missy Higgins,2004,3.5691,42,0.661
3154,Screamager,Therapy?,1994,2.6151,47,0.277
3155,Waiting For An Alibi,Thin Lizzy,1979,3.477333333,37,0.378
3156,Devil on My Shoulder,Billy Talent,2009,3.82555,57,0.588
3157,Kitty's Back,Bruce Springsteen,1973,7.082883333,35,0.315
3158,You Make Me Feel Brand New,The Stylistics,1973,4.807333333,62,0.451
3159,Back In My Arms Again,The Supremes,1965,2.9051,47,0.696
3160,Department of Youth,Alice Cooper,1975,3.28,34,0.533
3161,Waiting In Vain,Bob Marley & The Wailers,1977,4.270666667,68,0.769
3162,Pretzel Logic,Steely Dan,1974,4.508883333,48,0.605
3163,Ava Adore,The Smashing Pumpkins,2001,4.35555,42,0.594
3164,Women - Remastered 2017,Def Leppard,1987,5.7085,48,0.52
3165,Walkie Talkie Man,Steriogram,2004,2.223333333,49,0.548
3166,Heroin Girl,Everclear,1995,2.39,44,0.363
3167,Build Me Up Buttercup,The Foundations,1968,2.958883333,74,0.66
3168,Replica,Fear Factory,1995,3.956,52,0.574
3169,Twistin' the Night Away,Sam Cooke,1962,2.664216667,64,0.458
3170,"It's All Over Now, Baby Blue (feat. Van Morrison)",Them,1966,3.790666667,57,0.604
3171,Shut Up!,Simple Plan,2004,3.049766667,48,0.507
3172,Rock N Roll Duty - Live,Kim Mitchell,1990,4.287766667,8,0.454
3173,Don't Talk To Strangers,Dio,1983,4.85155,53,0.352
3174,(Can't You) Trip Like I Do - 2009 Remastered Version,Filter,2009,4.451766667,28,0.346
3175,Freedom,Rage Against The Machine,1992,6.10555,52,0.503
3176,Darlin' - Remastered,The Beach Boys,1967,2.242666667,54,0.63
3177,You're Pretty Good Looking (For a Girl),The White Stripes,2000,1.828666667,41,0.475
3178,Stars,Hum,1995,5.151766667,54,0.271
3179,Even It Up,Heart,1980,5.164883333,36,0.7
3180,Kick,INXS,1987,3.238,46,0.507
3181,Breakdown,The Alan Parsons Project,1977,3.886433333,40,0.365
3182,King Of The Night Time World,KISS,1976,3.316666667,37,0.404
3183,The Universal,Blur,2000,4.002,54,0.317
3184,The Day That Never Comes,Metallica,2008,7.937766667,63,0.334
3185,Shelf In The Room,Days Of The New,1997,4.732883333,56,0.621
3186,I Still,Forty Deuce,2005,3.116116667,5,0.222
3187,Don't Tread On Me,Metallica,1991,4.004883333,55,0.674
3188,Yours Is No Disgrace - 2003 Remaster,Yes,1971,9.682666667,42,0.409
3189,My Hometown,Bruce Springsteen,1984,4.6611,62,0.652
3190,In Hiding,Pearl Jam,1998,4.99555,41,0.405
3191,Haunted,Six Feet Under,1995,3.167333333,19,0.365
3192,Givin the Dog a Bone,AC/DC,1980,3.529333333,58,0.525
3193,"Fingertips, Pt. 2 - Live/1962",Stevie Wonder,2019,3.170216667,41,0.35
3194,As Good as It Gets,the feelers,2001,3.9251,23,0.545
3195,Sleeping Bag,ZZ Top,1985,4.038883333,48,0.62
3196,Mother Mother,Tracy Bonham,1996,3.012216667,51,0.368
3197,Web in Front,Archers Of Loaf,1993,2.110866667,44,0.569
3198,Follow You Down,Matthew Mayfield,2013,4.603983333,33,0.239
3199,The Stars Of Track And Field,Belle & Sebastian,1996,4.7451,32,0.446
3200,The Great Gig in the Sky,Pink Floyd,1973,4.7312,66,0.275
3201,Headlong - Remastered 2011,Queen,1991,4.62955,57,0.566
3202,Big Foot,Chickenfoot,2011,3.8251,27,0.594
3203,Nothing But a Good Time - Live,Poison,2008,5.008883333,33,0.272
3204,Strangelove,Depeche Mode,1998,3.764666667,59,0.566
3205,Simple,Collective Soul,1995,3.749766667,34,0.583
3206,Without You,Mötley Crüe,1989,4.5031,56,0.524
3207,The Guns of Brixton - Remastered,The Clash,1979,3.207333333,58,0.739
3208,Bad Luck,Social Distortion,1992,4.416216667,46,0.551
3209,People Got to Be Free,The Rascals,1969,3.029766667,44,0.685
3210,Ratamahatta,Sepultura,1996,4.510666667,53,0.53
3211,"Tighten Up, Pt. 1",Archie Bell & The Drells,1968,3.266666667,46,0.708
3212,Sweet Mary Jane,Block Buster,2017,3.455316667,15,0.643
3213,Sharks and Danger,Alexisonfire,2004,4.642,34,0.242
3214,Lay Down Your Guns,Jimmy Barnes,1996,4.008883333,26,0.583
3215,Walking On Sunshine,Katrina & The Waves,1985,3.978883333,78,0.596
3216,Summer Breeze,Seals and Crofts,1972,3.424666667,65,0.49
3217,Only My Heart Talkin',Alice Cooper,1989,4.774883333,44,0.24
3218,Love Spreads,The Stone Roses,1994,5.784883333,59,0.435
3219,I Am a Rock,Paul Simon,1965,2.697766667,30,0.485
3220,Cocaine,J.J. Cale,1976,2.818883333,60,0.789
3221,You and Me (Album Version),The Checks,2009,4.4509,35,0.513
3222,Bits and Pieces - 2019 - Remaster,The Dave Clark Five,1964,1.981766667,37,0.485
3223,"Fastlove, Pt. 1",George Michael,1996,5.4111,64,0.735
3224,Shelter from the Storm,Bob Dylan,1975,5.018883333,63,0.486
3225,Roadrunner,The Modern Lovers,1976,4.107333333,59,0.462
3226,Nice To Luv You,54-40,1992,4.372666667,29,0.561
3227,Most People I Know,Billy Thorpe & The Aztecs,1995,4.283766667,17,0.418
3228,"Paris, Texas",Ry Cooder,1995,2.912666667,55,0.359
3229,Long Division,Rustic Overtones,2011,4.387766667,10,0.6
3230,Zebra,John Butler Trio,2005,3.959,47,0.622
3231,That's the Way - Remaster,Led Zeppelin,1970,5.618483333,56,0.245
3232,Defy You,The Offspring,2005,3.804,44,0.491
3233,How Sweet It Is (To Be Loved By You),Marvin Gaye,1965,2.962883333,60,0.653
3234,Holier Than Thou,Metallica,1991,3.794,57,0.471
3235,Making Plans For Nigel,XTC,1979,4.23,60,0.632
3236,Engel,Rammstein,1997,4.404433333,68,0.637
3237,"What God Wants, Pt. I",Roger Waters,1992,6.004883333,38,0.582
3238,The Breakup Song,The Greg Kihn Band,1981,2.828216667,57,0.703
3239,Apeman - Mono Mix,The Kinks,1970,3.862883333,39,0.656
3240,Dizz Knee Land,Dada,1992,4.108883333,51,0.58
3241,Turn to Stone,Electric Light Orchestra,1977,3.818216667,62,0.548
3242,Behind The Sun,Red Hot Chili Peppers,1987,4.682216667,38,0.583
3243,Erase / Rewind,The Cardigans,1998,3.641733333,61,0.743
3244,Place Your Hands,Reef,2003,3.62355,53,0.506
3245,Stuck Here for Days,The Datsuns,2006,2.969333333,24,0.416
3246,Bouncing Off The Walls,Sugarcult,2002,2.354883333,54,0.477
3247,Living In The U.S.A.,Steve Miller Band,1968,4.0671,39,0.38
3248,I'll Be Waiting,Talisman,1990,2.9571,48,0.495
3249,Avalon - Remastered,Roxy Music,1982,4.28065,63,0.759
3250,The Fish Cheer & I-Feel-Like-I'm-Fixin'-To-Die Rag - Mono,Country Joe & The Fish,2013,3.791333333,3,0.347
3251,Sunburn,Fuel,1998,4.393333333,31,0.502
3252,(They Long To Be) Close To You,Carpenters,1970,4.56555,66,0.528
3253,Lucky Man,The Verve,1997,4.8931,65,0.407
3254,Satellite 15.....The Final Frontier - 2015 Remaster,Iron Maiden,2010,8.67155,38,0.263
3255,This Town Ain't Big Enough for the Both of Us (Originally Performed By Sparks) [Full Vocal Version],Paris Music,2013,3.075766667,1,0.702
3256,The Riverboat Song,Ocean Colour Scene,1996,4.913333333,54,0.484
3257,Time to Waste,Alkaline Trio,2005,4.199766667,44,0.51
3258,Since I Left You,The Avalanches,2000,4.3491,36,0.519
3259,Ain’t No Mountain High Enough,Bellybuds,2014,3.447333333,22,0.207
3260,Rockin' All Over The World,Status Quo,1977,3.588883333,64,0.632
3261,Homesick,Soul Asylum,1993,3.58155,15,0.486
3262,Someone Saved My Life Tonight,Elton John,1975,6.748883333,53,0.457
3263,Got To Choose,KISS,1974,3.9111,32,0.449
3264,You Held the World in Your Arms,Idlewild,2002,3.373916667,42,0.385
3265,The Way You Do The Things You Do,The Temptations,1964,2.7624,64,0.618
3266,Hole In My Soul,Aerosmith,1997,6.168216667,62,0.465
3267,Let Me Go,3 Doors Down,2012,4.050883333,53,0.48
3268,New Rose,The Damned,1977,2.704,49,0.19
3269,Gypsy,Fleetwood Mac,1988,4.4151,74,0.622
3270,Over The Hills And Far Away,Gary Moore,1987,5.348883333,56,0.204
3271,Snowflake,Mew,1997,3.5171,17,0.427
3272,Scars,Papa Roach,2004,3.469766667,66,0.384
3273,Stone Cold,Rainbow,1982,5.288433333,50,0.419
3274,Planet Earth - 2010 Remaster,Duran Duran,1981,4.054433333,50,0.588
3275,I Like It Like That,Various Artists,1987,1.96,35,0.589
3276,What a Waster,The Libertines,2007,2.984216667,40,0.127
3277,Harvest Moon,Neil Young,1992,5.05355,72,0.648
3278,Take the Highway,The Marshall Tucker Band,1973,6.26,46,0.382
3279,American High,Machine Head,2001,3.804666667,31,0.382
3280,One Big Holiday,My Morning Jacket,2003,5.356216667,52,0.412
3281,Who Knows Where The Time Goes?,Fairport Convention,1969,5.099766667,45,0.51
3282,Games People Play,Joe South,1968,3.586,46,0.334
3283,Remember (Walkin' In The Sand),The Shangri-Las,1996,2.302216667,52,0.285
3284,Ain't My Bitch,Metallica,1996,5.073333333,47,0.426
3285,Miss Freelove '69,Hoodoo Gurus,1991,4.2091,27,0.52
3286,"It's Not the End of the World, But I Can See It from Here",lostprophets,2010,4.324133333,31,0.243
3287,The Wanton Song - 1990 Remaster,Led Zeppelin,1975,4.163333333,47,0.513
3288,Sophie,Goodshirt,2001,3.716216667,50,0.645
3289,M+M's,blink-182,1995,2.662883333,52,0.194
3290,Bad Religion,Godsmack,1998,3.2211,51,0.466
3291,Gets Me Through,Ozzy Osbourne,2001,5.071333333,45,0.431
3292,Skateaway,Dire Straits,1980,6.62555,52,0.513
3293,Let Me Entertain You,Robbie Williams,1997,4.366666667,67,0.478
3294,The Good Life,Weezer,1996,4.283333333,52,0.539
3295,No Lies,Noiseworks,1988,3.90555,47,0.565
3296,Wake Up,Rage Against The Machine,1992,6.064216667,64,0.411
3297,I'm Sorry,Brenda Lee,1960,2.692433333,57,0.558
3298,Cornbag,Head Like A Hole,1995,3.796,16,0.342
3299,Simply Irresistible,Robert Palmer,1988,4.238216667,52,0.645
3300,Give Wings to My Triumph,Hatebreed,2006,3.092116667,36,0.344
3301,Get Your Hands off My Woman - Live,The Darkness,2018,3.757333333,16,0.185
3302,Kool Thing,Sonic Youth,1990,4.10555,58,0.262
3303,"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2,2002,4.743333333,50,0.368
3304,Darkness on the Edge of Town,Bruce Springsteen,1978,4.540433333,51,0.369
3305,Staring at the Sun,TV On The Radio,2003,4.020216667,52,0.211
3306,Long White Cross,Pluto,2005,3.425333333,38,0.576
3307,Only Time Will Tell,Asia,1982,4.75,55,0.333
3308,Inflikted,Cavalera Conspiracy,2007,4.535766667,44,0.191
3309,(I'm) Stranded,The Saints,2009,3.5091,41,0.397
3310,"Lily, Rosemary and the Jack of Hearts",Bob Dylan,1975,8.852666667,44,0.457
3311,Angeles,Elliott Smith,1997,2.9471,54,0.53
3312,More Than This - Remastered,Roxy Music,1982,4.51085,66,0.653
3313,Space Lord,Monster Magnet,1998,5.932883333,54,0.634
3314,Detached,Prong,2003,3.398883333,9,0.593
3315,Black Gold,Soul Asylum,1993,3.963766667,21,0.589
3316,Heartspark Dollarsign,Everclear,1995,2.86955,34,0.356
3317,Feeling That Way,Journey,1978,3.464883333,50,0.303
3318,Taylor,Jack Johnson,2003,3.988,60,0.805
3319,Air Hostess,Busted,2003,3.962666667,36,0.411
3320,We Must Have Blood,Dwarves,1997,2.26155,23,0.251
3321,Naive,The Kooks,2006,3.391766667,73,0.391
3322,Science Fiction,Divinyls,1983,3.553766667,37,0.619
3323,Going Home,Goldfinger,2002,1.594883333,23,0.51
3324,How Far We've Come,Matchbox Twenty,2007,3.53755,60,0.566
3325,Queen Bitch - 2015 Remaster,David Bowie,1971,3.341766667,56,0.599
3326,Spicks And Specks,Bee Gees,2001,2.858883333,46,0.65
3327,2000 Light Years From Home - Remastered 2017 / Stereo,The Rolling Stones,1967,4.748216667,42,0.347
3328,Song For Whoever - Single Version,The Beautiful South,1995,4.074433333,28,0.516
3329,Wild Frontier - Remastered 2002,Gary Moore,2006,4.262,47,0.479
3330,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,Benny Benassi,2003,4.7595,68,0.793
3331,Enemy,Sevendust,2003,3.056433333,43,0.581
3332,No Children,The Mountain Goats,2002,2.8051,58,0.606
3333,This Is How It Goes,Billy Talent,2003,3.452216667,53,0.599
3334,Young Man Blues - Live,The Who,1971,4.798666667,33,0.231
3335,Alabama Song (Whisky Bar),The Doors,1967,3.29,57,0.568
